"Last date the gear was known to be at this locaiton / La date à laquelle l’engin a été repéré à cet endroit pour
la dernière fois",Gear Type / Type d’engin,Number of Units / Nombre d’engins perdus ,Estimated Length of Netting Lost / Longueur estimée de filets perdus,Estimated Length of Rope Lost / Longueur estimée de corde perdue,Latitude,Longitude
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,480,"48°05'43"" N","63°38'54"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,0,0,0,"46°30'7"" N","62°04'1"" W"
2019-05-19,CASIER/CAGE - TRAP/POT,1,7,450,"47°25'160"" N","63°19'067"" W"
2019-05-17,CASIER/CAGE - TRAP/POT,1,0,0,"46°50'65"" N","63°57'29"" W"
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,0,"47°43'59"" N","61°24'52"" W"
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,"47°47'59"" N","61°19'59"" W"
2019-05-17,CASIER/CAGE - TRAP/POT,2,0,0,"47°47'09"" N","61°19'38"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,6,0,0,"46°32'00"" N","29°62'06"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,1,0,0,"47°28'493"" N","61°21'736"" W"
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,0,"47°41'39"" N","60°37'23"" W"
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,0,"47°37'34"" N","60°34'13"" W"
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,0,"47°37'07"" N","60°33'42"" W"
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,510,"47°37'33"" N","60°34'36"" W"
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,0,"47°36'37"" N","60°33'42"" W"
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,0,"47°36'22"" N","60°34'00"" W"
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,510,"47°36'14"" N","60°33'14"" W"
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,510,"47°35'59"" N","60°33'35"" W"
